STN_ID,LAT,LONG
70305099999,58.65,-162.067
70308025713,57.15528,-170.22222
70316025624,55.22083,-162.7325
70316599999,55.333,-160.5
70326025503,58.6829,-156.6563
70333099999,56.95,-158.617
70340025506,59.7494,-154.9089
70340699999,60.2,-154.317
70341025507,59.642,-151.4908
70343025403,59.433,-146.333
70350025501,57.75111,-152.48556
70360699999,59.05,-160.383
70361025339,59.512,-139.6712
70362025335,59.4556,-135.3239
70362599999,59.233,-135.433
70367025322,58.4111,-135.7089
70371025333,57.0481,-135.3647
70372499999,61.75,-150.05
70381025309,58.3566,-134.564
70381699999,58.25,-134.9
70381799999,58.2,-136.35
70386025329,56.8055,-132.9372
70387099999,56.484,-132.37
70388699999,56.247,-134.65
70395025325,55.35667,-131.71167
70398025308,55.0389,-131.5787
70414099999,52.717,174.1
70454025704,51.88333,-176.65
70454599999,51.383,179.267
70482025626,52.91667,-168.78333
70489099999,53.9,-166.55
70489899999,66.8175278,-161.02225
69756499999,32.7333333,-113.6333333
70119099999,65.253664,-166.858519
70204026703,63.76667,-171.73278
70259026523,60.5797,-151.2391
70271799999,66.600139,-159.98575
70321099999,59.05,-158.517
70385599999,56.95,-133.9
72201512850,24.58333,-81.68333
72201699999,24.733,-81.05
72202499999,25.9,-80.283
72202512849,26.0719,-80.1536
72202612826,25.48333,-80.38333
72202999999,25.65,-80.433
72203012844,26.6847,-80.0994
72203899999,26.153,-81.775
72203999999,26.2,-80.167
72204012838,28.1011,-80.6439
72204512843,27.651,-80.4199
72204699999,28.517,-80.8
72204799999,27.47,-80.3
72204999999,26.25,-80.117
72205012815,28.4339,-81.325
72205112841,28.54528,-81.33306
72205312841,28.54528,-81.33306
72205599999,29.167,-82.217
72205612834,29.1828,-81.0483
72205999999,42.683,-88.3
72206013889,30.495,-81.6936
72206593837,30.23333,-81.66667
72206603853,30.4,-81.41667
72206793832,30.21667,-81.88333
72206899999,30.333,-81.517
72207003822,32.13,-81.21
72208013880,32.8986,-80.0402
72208593831,32.48333,-80.71667
72209099999,31.883,-81.567
72210399999,27.483,-80.367
72210492806,27.76472,-82.6275
72210612835,26.585,-81.8614
72210899999,26.533,-81.75
72211012842,27.96194,-82.5403
72211599999,27.383,-82.55
72211699999,27.9,-82.683
72212012833,29.63333,-83.10528
72212399999,27.95,-81.783
72213013861,31.25,-82.4
72213513870,31.5358,-82.5067
72213713878,31.1522,-81.3908
72214093805,30.39306,-84.35333
72214612816,29.6919,-82.2755
72216013869,31.53556,-84.19444
72216693845,30.7825,-83.27667
72217003813,32.6847,-83.6527
72217513860,32.63333,-83.6
72218003820,33.3644,-81.9633
72219013874,33.6301,-84.4418
72219599999,33.767,-84.517
72219699999,33.867,-84.3
72220012832,29.73333,-85.03333
72221513884,30.77972,-86.5225
72222113899,30.47806,-87.18694
72222503855,30.35,-87.31667
72222693841,30.71667,-87.01667
72223013894,30.68833,-88.24556
72223513838,30.62639,-88.06806
72223999999,31.35,-85.75
72224599999,30.2,-85.683
72224603844,30.65,-86.517
72225013829,32.35,-85.0
72225593842,32.5161,-84.9422
72226013895,32.2997,-86.4075
72226513821,32.38333,-86.35
72226703878,31.86056,-86.01222
72226893843,31.317,-85.45
72226903850,31.26667,-85.71667
72227013864,33.91667,-84.51667
72228693806,33.2119,-87.6161
72228713871,33.5872,-85.8556
72229003881,32.9,-87.25
72229399999,29.784,-93.3
72229499999,29.7996806,-92.803536
72229599999,28.5333333,-90.5833333
72229699999,28.5,-91.2
72230399999,28.13,-94.4
72230499999,28.78,-89.05
72230699999,28.47,-91.78
72230799999,29.286071,-89.363949
72230899999,29.1,-90.2
72230999999,29.25,-89.9666666
72231012916,29.997528,-90.277806
72231403934,30.033,-91.883
72231553917,30.0494,-90.0288
72231612958,29.81667,-90.01667
72232899999,29.7,-91.1
72232999999,29.717,-91.333
72233799999,28.22,-93.75
72234013865,32.3347,-88.7442
72234503866,32.55,-88.56667
72234899999,31.467,-89.333
72235003940,32.3205,-90.0777
72235613939,33.4825,-90.98528
72235799999,31.617,-91.3
