STN_ID,DATE,TIME,LAT,LONG,ELEVATION,STN_NAME,WND_SPD,WND_DIR,CIG,VIS,TMP,DEW,SLP
2836099999,1921-01-23,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0322,+9999,09604
2836099999,1921-01-23,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0339,+9999,09620
2836099999,1921-01-23,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0417,+9999,09619
2836099999,1921-01-24,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0289,+9999,09628
2836099999,1921-01-24,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,360,99999,000000,-0106,+9999,09679
2836099999,1921-01-24,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0228,+9999,09734
2836099999,1921-01-25,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0289,+9999,09759
2836099999,1921-01-25,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,320,99999,000000,-0239,+9999,09780
2836099999,1921-01-25,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0328,+9999,09770
2836099999,1921-01-26,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0378,+9999,09751
2836099999,1921-01-26,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0311,+9999,09731
2836099999,1921-01-26,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,270,99999,000000,-0167,+9999,09722
2836099999,1921-01-27,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,320,99999,000000,-0150,+9999,09730
2836099999,1921-01-27,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0178,+9999,09775
2836099999,1921-01-27,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0217,+9999,09814
2836099999,1921-01-28,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0333,+9999,09848
2836099999,1921-01-28,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,270,99999,000000,-0256,+9999,09850
2836099999,1921-01-28,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,290,99999,000000,-0222,+9999,09819
2836099999,1921-01-29,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,140,99999,000000,-0172,+9999,09715
2836099999,1921-01-29,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,140,99999,000000,-0150,+9999,09687
2836099999,1921-01-29,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,180,99999,000000,-0139,+9999,09679
2836099999,1921-01-30,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0128,+9999,09642
2836099999,1921-01-30,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0122,+9999,09644
2836099999,1921-01-30,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,340,99999,000000,-0144,+9999,09678
2836099999,1921-01-31,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0206,+9999,09714
2836099999,1921-01-31,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,290,99999,000000,-0178,+9999,09732
2836099999,1921-01-31,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,290,99999,000000,-0161,+9999,09768
2836099999,1921-02-01,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0244,+9999,09826
2836099999,1921-02-01,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0278,+9999,09863
2836099999,1921-02-01,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0339,+9999,09898
2836099999,1921-02-02,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,360,99999,000000,-0278,+9999,09999
2836099999,1921-02-02,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0200,+9999,10056
2836099999,1921-02-02,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0283,+9999,10100
